Title;Employer;Employment Type;Link;Email;Contact Text;Description;;
Registered Kaiako - LTR position;Learning Links Borman Road;Part time, Long-term relieving (LTR), FTTE up to: 0.5, Start Date: 30/11/2025(Staff leave cover);https://gazette.education.govt.nz/vacancies/1HAqbD-registered-kaiako-relieving-position/;rachel@learninglinkschildcare.co.nz;N/A;N/A;;
Y2 and 3 teacher;Sacred Heart School (Waikiwi);Full time, Fixed term, Start Date: 26/01/2026, End Date: 11/12/2026(Due to roll fluctuation );https://gazette.education.govt.nz/vacancies/1HAqbC-year-2-and-3-teacher/;principal@shsinv.school.nz;N/A;N/A;;
Itinerant music teacher - violin / viola / cello;Marist College;Part time, Fixed term, FTTE up to: 0.1, Start Date: 28/01/2026, End Date: 27/01/2027(Music itinerant);https://gazette.education.govt.nz/vacancies/1HAqbB-itinerant-music-teacher-violinviolacello/;employment@maristcollege.school.nz;N/A;N/A;;
Teacher of food technology & hospitality;Marlborough Boys' College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqb9-teacher-of-food-technology-and-hospitality/;apply@mbc.school.nz;N/A;N/A;;
English teacher;Tai Wananga;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqb8-english-teacher-full-time-permanent/;tumuaki@taiwananga.co.nz;N/A;N/A;;
Teacher / tutor - humanities;ACG Parnell College;Part time, Permanent, FTTE up to: 0.8;https://gazette.education.govt.nz/vacancies/1HAqb6-teachertutor-humanities/;people@acgedu.com;N/A;N/A;;
Teacher (Y6-8);Kuratau School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqb5-teacher-year-6-8/;shirleyb@kuratau.school.nz;N/A;N/A;;
Technology teacher / CRT release Y7-8;Ohakune School;Full time, Fixed term, Start Date: 02/02/2026, End Date: 11/12/2026(CRT release technology position );https://gazette.education.govt.nz/vacancies/1HAqb2-technology-teachercrt-release-year-7-8-fixed-term/;principal@ohakune.school.nz;N/A;N/A;;
Classroom Kaiako.  Non-tagged;St Joseph's School (Stratford);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqaz-classroom-kaiako-permanent-non-tagged/;wendieh@stjosephs-stratford.school.nz;N/A;N/A;;
Y6 classroom teacher;Awhitu District School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqax-year-6-classroom-teacher-with-management-units/;principal@awhitu.school.nz;N/A;N/A;;
English teacher;Fairfield College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqaw-english-teacher/;snowdonl@faircol.school.nz;N/A;N/A;;
Learning support & wellbeing coordinator;Carterton School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqat-learning-support-and-wellbeing-coordinator/;principal@carterton.school.nz;N/A;N/A;;
Y9-13 hard materials teacher 2026;Southern Cross Campus;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(the Board has approved discretionary funding from its operation grant to employ a teacher above the maximum MoE funding staff entitlement.);https://gazette.education.govt.nz/vacancies/1HAqas-y9-13-hard-materials-teacher-2026/;triki@southerncross.school.nz;N/A;N/A;;
Learning support co-ordinator;Burnham School - Te Kura o Tiori;Full time, Fixed term, Start Date: 26/01/2026, End Date: 25/09/2026(Maternity leave);https://gazette.education.govt.nz/vacancies/1HAqar-full-time-fixed-term-learning-support-co-ordinator/;principal@burnham.school.nz;N/A;N/A;;
Teacher - South Auckland Unit (Takanini);Northern Health School;Part time, Permanent, FTTE up to: 0.8;https://gazette.education.govt.nz/vacancies/1HAqao-teacher-south-auckland-unit-takanini/;employment@nhs.school.nz;N/A;N/A;;
Teacher - South Auckland Unit (Takanini);Northern Health School;Part time, Permanent, FTTE up to: 0.8;https://gazette.education.govt.nz/vacancies/1HAqan-teacher-south-auckland-unit-takanini/;employment@nhs.school.nz;N/A;N/A;;
Teacher of science and Ako;Ellesmere College;Full time, Fixed term, Start Date: 28/01/2026, End Date: 18/12/2026(To provide necessary cover for a permanent teacher who has been temporarily transferred to teach a position of need.);https://gazette.education.govt.nz/vacancies/1HAqak-teacher-of-science-and-ako/;recruitment@ellesmere.school.nz;N/A;N/A;;
Samoan language teacher;McAuley High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqaj-samoan-language-teacher/;office@mcauleyhighschool.nz;N/A;N/A;;
Teacher (social studies; PE and learning support);Pukekohe High School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(While the Board recruits and appoints permanently to the position);https://gazette.education.govt.nz/vacancies/1HAqai-teacher/;mym@pukekohehigh.school.nz;N/A;N/A;
Teacher of music / Special Character position. Regraded;St Ignatius of Loyola Catholic College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqaf-teacher-of-music-special-character-position-regraded/;recruitment@ignatius.school.nz;N/A;N/A;;
Kaiako - dance;Tauhara College;Part time, Fixed term, FTTE up to: 0.7, Start Date: 28/01/2026, End Date: 27/01/2027(Special project );https://gazette.education.govt.nz/vacancies/1HAqae-kaiako-dance/;bl@tauhara.school.nz;N/A;N/A;;
Teacher / Kaiako Y3-4;Prospect School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqad-teacher-year-3-4/;shelbyk@prospect.school.nz;N/A;N/A;;
Teacher of Māori & social sciences - state other subjects;Hamilton Boys' High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqac-teacher-of-maori-and-social-sciences-state-other-subjects/;applications@hbhs.school.nz;N/A;N/A;;
Mathematics teacher;Hornby High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqab-mathematics-teacher-full-time-permanent/;pa@hornby.school.nz;N/A;N/A;;
Scale A Teacher;Matata School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqaa-permanent-scale-a-teacher/;principal@matata.school.nz;N/A;N/A;;
Y6 teacher;Panama Road School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqa_-year-6-teacher/;janed@panamard.school.nz;N/A;N/A;;
Y6 teacher;Panama Road School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqaZ-year-6-teacher/;janed@panamard.school.nz;N/A;N/A;;
Junior teacher;Arrowtown School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqaY-junior-teacher/;office@arrowtown.school.nz;N/A;N/A;;
Classroom teacher Y4-6;Viscount School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqav-classroom-teacher-year-4-6-phase-2/;deannaj@viscount.school.nz;N/A;N/A;;
Teacher of economics;Garin College;Part time, Permanent, FTTE up to: 0.5;https://gazette.education.govt.nz/vacancies/1HAqaX-teacher-of-economics-permanent-part-time/;hr@garincollege.nz;N/A;N/A;;
English teacher Y9 to 13. Tagged position. Regraded;Kaikohe Christian School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqaW-english-teacher-years-9-to-13-tagged-position-regraded/;jonie@kcs.school.nz;N/A;N/A;;
Qualified toddler Kaiako;Imagine Childcare;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqaV-qualified-toddler-kaiako/;sheryl@imaginechildcare.co.nz;N/A;N/A;;
Scale A - Classroom teacher 2026;Kiwitea School;Full time, Fixed term, Start Date: 27/01/2026, End Date: 11/12/2026(To enable a project of targeted literacy intervention (through enabling lower class numbers across school for 2026) );https://gazette.education.govt.nz/vacancies/1HAqaJ-scale-a-classroom-teacher-2026/;Principal@kiwitea.school.nz;N/A;N/A;;
Learning support coordinator (LSC);Hampton Hill School;Part time, Permanent, FTTE up to: 0.2;https://gazette.education.govt.nz/vacancies/1HAqaT-permanent-part-time-learning-support-coordinator-lsc/;claire.hughes@hamptonhill.school.nz;N/A;N/A;;
Teacher of the Deaf - Kelston Girls College;Ko Taku Reo - Deaf Education New Zealand;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqaN-teacher-of-the-deaf-kelston-girls-college/;hrsupport@kotakureo.school.nz;N/A;N/A;;
Teacher;West Harbour School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqaL-permanent-full-time-teacher/;annas@westharbour.school.nz;N/A;N/A;;
Senior English teacher;Karamū High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqaK-senior-english-teacher/;admin@karamu.school.nz;N/A;N/A;;
Mathematics teacher;Mākoura College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqaG-mathematics-teacher/;kayesaywell@mc.school.nz;N/A;N/A;;
Scale A teacher;West Gore School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqaE-scale-a-teacher-permanent-full-time-2/;lfraser@westgore.school.nz;N/A;N/A;;
Intermediate teacher;Fergusson Intermediate (Trentham);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqaD-intermediate-teacher/;skenny@fergusson.school.nz;N/A;N/A;;
Junior school teacher - for 2026;St Ignatius Catholic School (St Heliers);Full time, Fixed term, Start Date: 30/01/2026, End Date: 15/12/2026(Project, roll growth);https://gazette.education.govt.nz/vacancies/1HAqaB-junior-school-teacher-fixed-term-for-2026/;jpenney@stignatius.school.nz;N/A;N/A;;
Physical education and health teacher;Hillcrest High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqaA-physical-education-and-health-teacher/;cwilliams@hillcrest-high.school.nz;N/A;N/A;;
Religious education teacher. Tagged Cl47;Sacred Heart Girls' College (Ham);Full time, Fixed term, Start Date: 28/01/2026, End Date: 03/07/2026(Maternity leave);https://gazette.education.govt.nz/vacancies/1HAqa9-religious-education-teacher-tagged-cl47/;jritchie@shgcham.school.nz;N/A;N/A;;
ORs specialist teacher;St Patrick's Catholic School (Taupo);Part time, Permanent, FTTE up to: 0.8;https://gazette.education.govt.nz/vacancies/1HAqa8-ors-specialist-teacher/;principal@stpatstaupo.school.nz;N/A;N/A;;
Classroom teacher;St Joseph's School (Fairlie);Full time, Fixed term, Start Date: 02/02/2026, End Date: 11/12/2026(Roll numbers);https://gazette.education.govt.nz/vacancies/1HAqa7-classroom-teacher/;principal@stjofairlie.school.nz;N/A;N/A;;
Teacher of Gagana Samoa and Pacific Studies;James Cook High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqa5-teacher-of-gagana-samoa-and-pacific-studies/;humanresources@jchs.school.nz;N/A;N/A;;
English teacher;Hillcrest High School;Full time, Fixed term, Start Date: 08/03/2026, End Date: 03/07/2026(Study leave);https://gazette.education.govt.nz/vacancies/1HAqa4-english-teacher/;cwilliams@hillcrest-high.school.nz;N/A;N/A;;
0.4 new entrant release teacher;Tahunanui School;Part time, Fixed term, FTTE up to: 0.4, Start Date: 29/01/2026, End Date: 16/12/2026(LSC release/shared class);https://gazette.education.govt.nz/vacancies/1HAqa2-lsc-job-share-new-entrants/;dp@tahunanui.school.nz;N/A;N/A;;
Y7 or Y8 teacher;Napier Intermediate;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqa1-year-7-or-year-8-permanent-position-hawkes-bay/;tvanzyl@nis.school.nz;N/A;N/A;;
Teacher Y6-8;Lake Brunner School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_y-teacher-year-6-8/;principal@lakebrunner.school.nz;N/A;N/A;;
Y7–8 homeroom teacher;James Hargest College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_v-year-78-homeroom-teacher/;jtoogood@jameshargest.school.nz;N/A;N/A;;
Scale A teacher;Awahono School - Grey Valley;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_u-scale-a-teacher/;principal@awahono.school.nz;N/A;N/A;;
Scale A teacher;Mapua School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_t-scale-a-teacher/;recruitment@mapua.school.nz;N/A;N/A;;
Release teacher 0.6;Paerata School;Part time, Fixed term, FTTE up to: 0.6, Start Date: 26/01/2026, End Date: 14/12/2026(Release teacher);https://gazette.education.govt.nz/vacancies/1HAq_p-release-teacher-0-6/;andre@paerata.school.nz;N/A;N/A;;
Teacher;Kids Count ECE Marne Rd;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_k-passionate-teacher-wanted-join-our-kids-count-whanau/;eamonn@kidscount.co.nz;N/A;N/A;;
Assistant teacher of business studies;Hamilton Girls' High School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Transitional appointment);https://gazette.education.govt.nz/vacancies/1HAq_n-assistant-teacher-of-business-studies/;recruitment@hghs.school.nz;N/A;N/A;;
Physical assistance centre teacher;Hillcrest High School;Part time, Permanent, FTTE up to: 0.8;https://gazette.education.govt.nz/vacancies/1HAq_j-physical-assistance-centre-teacher/;cwilliams@hillcrest-high.school.nz;N/A;N/A;;
Learning support coordinator (LSC);Pukeatua Primary School (Wainuiomata);Part time, Permanent, FTTE up to: 0.3;https://gazette.education.govt.nz/vacancies/1HAq_g-learning-support-coordinator-lsc/;kerryl@pukeatua.school.nz;N/A;N/A;;
Science teacher;Okaihau College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_f-science-teacher/;jennyc@okaihau-college.school.nz;N/A;N/A;;
Senior teacher;St Marys Pre-School;Part time, Permanent, FTTE up to: 0.8;https://gazette.education.govt.nz/vacancies/1HAq_c-senior-teacher-st-marys-preschool/;board@stmaryspreschool.co.nz;N/A;N/A;;
Y7–8 homeroom teacher;James Hargest College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_a-home-room-teacher/;jtoogood@jameshargest.school.nz;N/A;N/A;;
Classroom teacher - Y3–4;Kauri Park School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_X-classroom-teacher-year-34/;thomas.bigge@kauripark.school.nz;N/A;N/A;;
Scale A Y4 classroom teacher 2026;Te Mata School (Havelock North);Full time, Fixed term, Start Date: 27/01/2026, End Date: 15/12/2026(Board funded teaching position for 2026 );https://gazette.education.govt.nz/vacancies/1HAq_W-scale-a-classroom-teacher-2026-year-4-fixed-term/;vacancies@temata.school.nz;N/A;N/A;;
Teacher of mathematics;Waiuku College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_V-teacher-of-mathematics-full-time-permanent-commencing-28-1-26/;aa@waiuku-college.school.nz;N/A;N/A;;
Teacher of mathematics and statistics;Wakatipu High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_Q-teacher-of-mathematics-and-statistics/;apply@wakatipu.school.nz;N/A;N/A;;
Textiles technology teacher;Birkenhead College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_i-textiles-technology-teacher/;office@birkenhead.school.nz;N/A;N/A;;
Social sciences teacher;Okaihau College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_d-social-sciences-teacher/;jennyc@okaihau-college.school.nz;N/A;N/A;;
Physical education & health teacher;Sacred Heart Girls' College (Ham);Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Maternity leave);https://gazette.education.govt.nz/vacancies/1HAq_M-physical-education-and-health-teacher/;jritchie@shgcham.school.nz;N/A;N/A;;
Physical education & health teacher;Sacred Heart Girls' College (Ham);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_J-physical-education-and-health-teacher/;jritchie@shgcham.school.nz;N/A;N/A;;
Teacher of te reo Māori;Rathkeale College;Part time, Permanent, FTTE up to: 0.6;https://gazette.education.govt.nz/vacancies/1HAq_H-teacher-of-te-reo-maori/;principal@rathkeale.school.nz;N/A;N/A;;
Science / biology / horticulture teacher;Palmerston North Boys' High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_F-sciencebiologyhorticulture-teacher/;admin@pnbhs.school.nz;N/A;N/A;;
English teacher;Birkenhead College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_e-english-teacher/;office@birkenhead.school.nz;N/A;N/A;;
CRT release teacher 0.7;Poukawa School;Part time, Permanent, FTTE up to: 0.7;https://gazette.education.govt.nz/vacancies/1HAq_D-crt-release-teacher-0-7/;principal@poukawa.school.nz;N/A;N/A;;
Kaiako / teacher Y3-5;Mataroa School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_C-kaiakoteacher-year-3-5/;principal@mataroa.school.nz;N/A;N/A;;
Scale A teacher - Y6–7;Conifer Grove School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2026(Release for a project);https://gazette.education.govt.nz/vacancies/1HAq_B-scale-a-teacher-year-6-and-7/;admin@cgschool.ac.nz;N/A;N/A;;
Learning support coordinator;Kelston Intermediate;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_A-learning-support-coordinator/;biosia@kelstonint.school.nz;N/A;N/A;;
Classroom release teacher;Te Mahoe School;Full time, Fixed term, Start Date: 02/02/2026, End Date: 02/04/2026(Covering CRT and management release);https://gazette.education.govt.nz/vacancies/1HAq_8-classroom-release-teacher/;principal@temahoe.school.nz;N/A;N/A;;
Kaiako – Rūmaki Tuakana;Whakarewarewa School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_7-kaiako-rumaki-tuakana/;boxer@whakarewarewa.school.nz;N/A;N/A;;
Scale A teacher - new entrant & Y1;Kakaramea School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_4-page-0/;principal@kakaramea.school.nz;N/A;N/A;;
Pou  Arataki- A senior teacher bilingual immersion classes;Hora Hora School (Te Mai);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAq_2-pou-arataki-asenior-teacher-bilingual-immersion-classes/;Pat.Newman@horahora.school.nz;N/A;N/A;;
Teacher 0.8;Te Āhuru Mōwai;Part time, Permanent, FTTE up to: 0.8;https://gazette.education.govt.nz/vacancies/1HAqZ5-teaching-position-fixed-term-0-8-hours-for-one-year/;akatipa@rsfyp.school.nz;N/A;N/A;;
Special education teacher;Papanui High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZy-special-education-teacher/;wmj@papanui.school.nz;N/A;N/A;;
2026 integrated teacher - Y9 and 10;Whangārei Girls' High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZw-2026-integrated-teacher-year-9-and-10/;office@wghs.school.nz;N/A;N/A;;
ESOL (English for speakers of other languages) teacher;Marina View School;Part time, Fixed term, FTTE up to: 0.8, Start Date: 02/02/2026, End Date: 15/12/2026(To support students with additional ESOL funding for the 2026 school year.);https://gazette.education.govt.nz/vacancies/1HAqZv-esol-english-for-speakers-of-other-languages-teacher/;srooney@marinaview.school.nz;N/A;N/A;;
Teacher of mathematics;Manawatū College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZu-teacher-of-mathematics/;dpetersen@manawatucollege.school.nz;N/A;N/A;;
Kaiako - French;Te Aho o Te Kura Pounamu;Part time, Fixed term, FTTE up to: 0.6, Start Date: 29/01/2026, End Date: 03/07/2026(Replacing incumbent on secondment);https://gazette.education.govt.nz/vacancies/1HAqZt-kaiako-french/;Anil.Singh@tekura.school.nz;N/A;N/A;;
Y9 to 13 math and science teacher;Taumarunui High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZs-year-9-to-13-math-and-science-teacher/;office@taumarunuihighschool.co.nz;N/A;N/A;;
Teacher of ESOL;Ormiston Senior College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZr-teacher-of-esol-ormiston-senior-college/;acrabbe@ormiston.school.nz;N/A;N/A;;
Y9 to 13 social sciences teacher;Taumarunui High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZq-year-9-to-13-social-sciences-teachers/;office@taumarunuihighschool.co.nz;N/A;N/A;;
Y9 to 13 technology teacher;Taumarunui High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZo-year-9-to-13-technology-teacher/;office@taumarunuihighschool.co.nz;N/A;N/A;;
Y4 teacher. Tagged position;KingsGate School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZm-year-4-teacher-kingsgate-school/;hop@kingsgate.school.nz;N/A;N/A;;
English teacher;Feilding High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZk-english-teacher/;vacancy@feildinghigh.school.nz;N/A;N/A;;
Teacher – Taupō Unit;Northern Health School;Part time, Fixed term, FTTE up to: 0.4, Start Date: 02/02/2026, End Date: 11/12/2026(Covering leave);https://gazette.education.govt.nz/vacancies/1HAqZj-teacher-taupo-unit/;employment@nhs.school.nz;N/A;N/A;;
Teacher – Taupō Unit;Northern Health School;Part time, Fixed term, FTTE up to: 0.4, Start Date: 02/02/2026, End Date: 11/12/2026(Covering leave);https://gazette.education.govt.nz/vacancies/1HAqZf-teacher-taupo-unit/;employment@nhs.school.nz;N/A;N/A;;
Technology teacher;Orewa College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZd-technology-teacher/;hrmanager@orewacollege.nz;N/A;N/A;;
Independent living centre teacher;Hillcrest High School;Part time, Fixed term, FTTE up to: 0.4, Start Date: 09/02/2026, End Date: 03/07/2026(Flexible working hours);https://gazette.education.govt.nz/vacancies/1HAqZc-independent-living-centre-teacher/;cwilliams@hillcrest-high.school.nz;N/A;N/A;;
Qualified unders teacher – birth to 2 years;Launch Waipukurau;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZb-qualified-unders-teacher-birth-to-2-years/;chb@launchactive.co.nz;N/A;N/A;;
Mathematics teacher;Feilding High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZi-mathematics-teacher/;vacancy@feildinghigh.school.nz;N/A;N/A;;
Kaiako/teacher;Linden School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZe-kaiakoteacher/;principal@linden.school.nz;N/A;N/A;;
Learning support coordinator;Linden School;Part time, Permanent, FTTE up to: 0.2;https://gazette.education.govt.nz/vacancies/1HAqZh-learning-support-coordinator-2/;principal@linden.school.nz;N/A;N/A;;
Qualified overs teacher – 2 years + age group;Launch Waipukurau;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZ_-qualified-overs-teacher-2-years-age-group/;chb@launchactive.co.nz;N/A;N/A;;
Teacher of Pasifika studies;Riccarton High School;Part time, Permanent, FTTE up to: 0.5;https://gazette.education.govt.nz/vacancies/1HAqZY-teacher-of-pasifika-studies/;vacancy@riccarton.school.nz;N/A;N/A;;
Hard materials technology teacher (product design; trades & automotive);Tangaroa College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZX-hard-materials-technology-teacher-product-design-trades-and-automotive/;jobs@tangaroa.school.nz;N/A;N/A;
Kaiako Kura Teina;Te Kura o Te Kao;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZV-kaiako-kura-teina/;office@tekao.school.nz;N/A;N/A;;
Teacher Y4–5 class;Te Kura o Hau Karetu;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZU-teacher-full-time-permanent-year-4-5-class/;principal@tehaukaretu.school.nz;N/A;N/A;;
Teacher of Chinese language;Hutt International Boys' School;Part time, Permanent, FTTE up to: 0.4;https://gazette.education.govt.nz/vacancies/1HAqZN-teacher-of-chinese-language/;lhorsefield@hibs.school.nz;N/A;N/A;;
Primary trained Y3–6 teacher;Mangakahia Area School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZL-primary-trained-year-3-6-teacher-permanent/;admin@mangakahia.school.nz;N/A;N/A;;
Dance teacher;John Paul College;Full time, Fixed term, Start Date: 27/01/2026, End Date: 26/01/2027(Maternity leave);https://gazette.education.govt.nz/vacancies/1HAqZG-dance-teacher-maternity-cover-one-year/;recruitment@jpc.school.nz;N/A;N/A;;
Primary release teacher (0.4) - Blenheim Campus;OneSchool Global - New Zealand;Part time, Fixed term, FTTE up to: 0.4, Start Date: 26/01/2026, End Date: 11/12/2026(Release teacher);https://gazette.education.govt.nz/vacancies/1HAqZT-primary-release-teacher-0-4-blenheim-campus/;recruitment@nz.oneschoolglobal.com;N/A;N/A;;
Science and mathematics teacher;Matamata Christian School;Part time, Permanent, FTTE up to: 0.6;https://gazette.education.govt.nz/vacancies/1HAqZC-science-and-mathematics-teacher-permanent-part-time-0-6/;alistairpaterson@matamata.school.nz;N/A;N/A;;
Teacher Y0–1;Takapuna School;Full time, Fixed term, Start Date: 27/01/2026, End Date: 18/12/2026(Roll growth – Board funded);https://gazette.education.govt.nz/vacancies/1HAqZB-teacher-year-0-1/;devikat@tps.school.nz;N/A;N/A;;
Learning support coordinator / ESOL teacher;Farm Cove Intermediate;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZA-learning-support-coordinator-esol-teacher/;principal@farmcove.school.nz;N/A;N/A;;
Teacher;Timaru Christian School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZ8-permanent-teaching-position/;principal@timaruchristian.school.nz;N/A;N/A;;
Y1–2 Samoan bilingual teacher;Henderson South School;Full time, Fixed term, Start Date: 02/02/2026, End Date: 02/04/2026(Bilingual teacher is taking a term's sick leave);https://gazette.education.govt.nz/vacancies/1HAqZ6-henderson-south-school-yr12-samoan-bilingual-position-fixed-one-term/;principal@hendersonsouth.school.nz;N/A;N/A;;
Teacher;Kaikōura Primary School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZ3-teacher/;office@kaikoura.school.nz;N/A;N/A;;
English and social sciences kaiako;Marian College;Full time, Fixed term, Start Date: 26/01/2026, End Date: 11/12/2026(A specific short-term curriculum need);https://gazette.education.govt.nz/vacancies/1HAqZ2-english-and-social-sciences-kaiako-full-time-fixed-term/;princ-pa@mariancollege.school.nz;N/A;N/A;;
Mathematics and science teacher;Whangārei Boys' High School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(To cover staff with fixed term responsibilities);https://gazette.education.govt.nz/vacancies/1HAqZ1-mathematics-and-science-teacher-fixed-term-full-time/;s.dzumbira@wbhs.school.nz;N/A;N/A;;
English teacher;Mt Albert Grammar School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqZ0-english-teacher/;shayes@mags.school.nz;N/A;N/A;;
Commerce and social sciences teacher;Kaiapoi High School;Full time, Long-term relieving (LTR), Start Date: 20/04/2026(Maternity leave);https://gazette.education.govt.nz/vacancies/1HAqYz-commerce-and-social-sciences-teacher/;m.anngow@kaiapoi.school.nz;N/A;N/A;;
Learning support coordinator - literacy & learning;Green Bay High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqYx-learning-support-coordinator-literacy-and-learning/;recruitment@greenbayhigh.school.nz;N/A;N/A;;
Scale A teacher; Y1-2;St Joseph's School (Temuka);Full time, Fixed term, Start Date: 28/01/2026, End Date: 15/12/2026(Unable to fill Catholic Character position);https://gazette.education.govt.nz/vacancies/1HAqYw-fixed-term-scale-a-teacher-yr-1-3/;office@stjotemu.school.nz;N/A;N/A;
Health and physical education teacher;Ōtorohanga College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqYt-health-and-physical-education-teacher/;kurthl@otocoll.school.nz;N/A;N/A;;
Junior teacher – social science;Tarawera High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqYs-junior-teacher-social-science/;principalspa@tarawera.school.nz;N/A;N/A;;
Teacher of visual art;Glenfield College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqYr-teacher-of-visual-art/;g.hayward@gc.ac.nz;N/A;N/A;;
Science teacher;Orewa College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqYq-science-teacher/;hrmanager@orewacollege.nz;N/A;N/A;;
History; science; social studies teacher;Columba College;Full time, Fixed term, Start Date: 28/01/2026, End Date: 08/12/2026(Cover for acting up staff member);https://gazette.education.govt.nz/vacancies/1HAqYp-history-science-social-studies/;ea@columbacollege.school.nz;N/A;N/A
